Title1,Title_URL1,inlineblock1,textxs1,prxs1,plxs1,mrmd2,mrm1,capitalize1,capitaliz1,button_URL1,button1,Title,Title_URL,inlineblock,textxs,prxs,plxs,mrmd,mrmd1,capitalize,capitalize2,button_URL,button
Alien OG,https://www.leafly.com/strains/alien-og,Hybrid,aka Alien OG Kush,4.4,(1134),THC 19%,CBG 1%,Euphoric,Myrcene,,,,,,,,,,,,,,
Ghost Train Haze,https://www.leafly.com/strains/ghost-train-haze,Sativa,,4.5,(1153),THC 18%,CBG 2%,Energetic,Terpinolene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Ghost%20Train%20Haze,shop menus,,,,,,,,,,,,
Dolato,https://www.leafly.com/strains/dolato,Indica,"aka Do-Si-Lato, Dosi-Lato",4.6,(109),THC 20%,CBD 0%,Relaxed,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Dolato,shop menus,,,,,,,,,,,,
Thin Mint,https://www.leafly.com/strains/thin-mint,Hybrid,"aka Thin Mint GSC, Thin Mints, Thin Mint Cookies, Thin Mint Girl Scout Cookies",4.6,(842),THC 19%,CBD 0%,Uplifted,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Thin%20Mint,shop menus,,,,,,,,,,,,
Animal Cookies,https://www.leafly.com/strains/animal-cookies,Hybrid,aka Animal Crackers,4.5,(1085),THC 19%,CBG 1%,Relaxed,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Animal%20Cookies,shop menus,,,,,,,,,,,,
FPOG,https://www.leafly.com/strains/fpog,Hybrid,"aka Fruity Pebbles, Fruity Pebbles OG, Fruity OG",4.4,(980),THC 19%,CBD 0%,Giggly,Myrcene,,,,,,,,,,,,,,
King Louis,https://www.leafly.com/strains/king-louis,Indica,"aka King Louis XIII, Louis XIII Kush",4.6,(969),THC 20%,CBG 1%,Sleepy,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=King%20Louis,shop menus,,,,,,,,,,,,
Alaskan Thunder Fuck,https://www.leafly.com/strains/alaskan-thunder-fuck,Sativa,"aka ATF, Alaskan Thunder, Alaskan Thunder F***",4.3,(2096),THC 16%,CBD 0%,Energetic,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Alaskan%20Thunder%20Fuck,shop menus,,,,,,,,,,,,
Acapulco Gold,https://www.leafly.com/strains/acapulco-gold,Sativa,,4.5,(721),THC 18%,CBG 1%,Energetic,Myrcene,,,,,,,,,,,,,,
Mandarin Cookies,https://www.leafly.com/strains/mandarin-cookies,Hybrid,aka Mandarin Mints,4.5,(257),THC 18%,CBD 0%,Uplifted,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Mandarin%20Cookies,shop menus,,,,,,,,,,,,
Georgia Pie,https://www.leafly.com/strains/georgia-pie,Hybrid,,4.7,(99),THC 24%,CBG 1%,Uplifted,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Georgia%20Pie,shop menus,,,,,,,,,,,,
Jungle Cake,https://www.leafly.com/strains/jungle-cake,Hybrid,,4.6,(113),THC 19%,CBG 1%,Talkative,Myrcene,,,,,,,,,,,,,,
Blueberry Muffin,https://www.leafly.com/strains/blueberry-muffins,Hybrid,aka Blueberry Muffins,4.6,(310),THC 20%,CBG 1%,Relaxed,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Blueberry%20Muffin,shop menus,,,,,,,,,,,,
